os,version,mean_distance,median_distance,std_distance,mean_error
Linux,1.2.0,137.16591251008325,85.72783677229819,161.95399106712028,79.16591251008325
Linux,1.2.1,136.45508221327168,85.41283423991985,161.69813032388333,78.45508221327168
Linux,1.2.2,136.96573568848663,86.83022436739685,157.9398615977685,78.96573568848663
Linux,1.3.0,136.8655836988765,85.65377828581902,162.12196154899075,78.86558369887649
Linux,1.3.1,137.53143908501158,85.95501500263057,162.1063861045643,79.53143908501158
Linux,1.4.0,137.07029636250473,85.6745470372835,161.89608399835043,79.07029636250473
Linux,1.4.1,137.24420398664606,85.77576155337957,161.7602417859233,79.24420398664606
Linux,1.4.2,136.43720584120223,85.85042861461372,158.1908598870916,78.43720584120223
Linux,1.4.3,136.6985914282726,85.53279151628651,161.447889039579,78.69859142827261
Linux,1.4.4,136.47374153872954,85.3944205535492,160.95471868028113,78.47374153872954
Linux,1.4.5,136.73456704425374,85.5634464533819,161.37590495784107,78.73456704425374
Linux,1.4.6,136.687367712081,85.5542285757309,161.21326389662764,78.687367712081
Linux,1.4.7,136.30626910801465,85.25731694448325,162.60326063779203,78.30626910801465
Linux,1.5.1,135.03030569709708,84.65258035556982,160.1161795933109,77.03030569709708
Linux,1.5.3,136.19129935076947,85.30827413052441,160.50587692126754,78.19129935076947
Linux,1.5.4,136.18346433422104,85.27963097857426,160.06721736779713,78.18346433422104
Linux,1.6.0,58.007875862820896,58.07475736722784,0.9819881225436605,0.007875862820895918
Linux,1.6.1,58.04511360842772,58.08268581078154,0.9759317519607796,0.0451136084277195
macOS,1.2.0,120.55648511097509,87.09504695944965,160.8508056412758,62.55648511097509
macOS,1.2.1,120.58822389151169,87.13085190337353,160.86194711780865,62.58822389151169
macOS,1.2.2,120.57861476130113,87.11942996357695,160.8742867457393,62.578614761301125
macOS,1.3.0,120.57766954139065,87.12395557604461,160.79878481593957,62.57766954139065
macOS,1.3.1,120.56784104054701,87.11540423610509,160.79421761732138,62.56784104054701
macOS,1.4.0,120.59335842768775,87.1350891346803,160.86733885468732,62.59335842768775
macOS,1.4.1,120.58652901710445,87.12959735394635,160.858545403103,62.58652901710445
macOS,1.4.2,120.58066349857539,87.12114664933469,160.87330970257293,62.58066349857539
macOS,1.4.3,120.58075527120539,87.12792503359404,160.7946022252722,62.58075527120539
macOS,1.4.4,120.58199847313945,87.1217874436631,160.87861269818873,62.58199847313945
macOS,1.4.5,120.56071865344342,87.11055543631988,160.77981588124203,62.560718653443416
macOS,1.4.6,120.55395367329743,87.09248302338915,160.85043081495135,62.55395367329743
